Feature,Importance
TotalWorkingYears,0.03571025622679345
MaritalStatus,0.03266834912922555
EnvironmentSatisfaction,0.028285107531742452
YearsWithCurrManager,0.025102933439308042
JobSatisfaction,0.023180899946600105
YearsSinceLastPromotion,0.022817112910438905
BusinessTravel,0.021478072012530058
NumCompaniesWorked,0.02019468815496049
WorkLifeBalance,0.019289694046230498
DistanceFromHome,0.01699608802031829
TrainingTimesLastYear,0.0168284588414143
MonthlyIncome,0.015537583516637622
EducationField,0.014947622812660105
Department,0.014884708516226537
Gender,0.014099539785012057
JobRole,0.013869059334378047
Age,0.013816159385740458
Education,0.013748691571626916
PerformanceRating,0.01343603679135479
StockOptionLevel,0.012516822669360318
JobInvolvement,0.011605900143086855
AverageHoursWorked,0.011178809821791863
JobLevel,0.010192898549032516
PercentSalaryHike,0.009241762976259213
YearsAtCompany,0.005926483562440656
