Feature,Importance
TotalWorkingYears,0.03030922737348932
MaritalStatus,0.030179883417753243
YearsSinceLastPromotion,0.027908729331001147
YearsWithCurrManager,0.02040633041034281
JobRole,0.01800144076464193
EnvironmentSatisfaction,0.01787530710371583
Age,0.017337662484054373
JobSatisfaction,0.01728907459978418
WorkLifeBalance,0.016232631548273813
TrainingTimesLastYear,0.016159125517761594
NumCompaniesWorked,0.015914476506202143
BusinessTravel,0.015140182369445303
Gender,0.015063378000206525
StockOptionLevel,0.014347217400651419
Department,0.013974164642037025
PerformanceRating,0.01324587782175014
EducationField,0.01185159637853328
MonthlyIncome,0.010871596751509853
Education,0.010434955502542958
JobInvolvement,0.009765072462946656
DistanceFromHome,0.009591460251171741
AverageHoursWorked,0.00888837653211254
YearsAtCompany,0.008480852264953077
PercentSalaryHike,0.007539510784715523
JobLevel,0.006474556197371622
