Feature,Importance
TotalWorkingYears,0.027175208119506956
MaritalStatus,0.02592490871806106
EnvironmentSatisfaction,0.02317990136636134
YearsSinceLastPromotion,0.022898146309065958
WorkLifeBalance,0.02081039589032953
JobSatisfaction,0.019703301978796314
NumCompaniesWorked,0.01840702651356909
YearsWithCurrManager,0.017915013298628147
BusinessTravel,0.01582190789897547
PerformanceRating,0.013741259127674179
EducationField,0.013161810054243685
Age,0.013136838018389585
Gender,0.012670450174351986
Department,0.01260801571999367
StockOptionLevel,0.01240660360064317
TrainingTimesLastYear,0.01103694738299108
JobInvolvement,0.010959749816044194
DistanceFromHome,0.010250617495334447
JobRole,0.010088118470857327
Education,0.009803302932663687
PercentSalaryHike,0.008089182419160294
JobLevel,0.00715254892646656
MonthlyIncome,0.007109669506204135
YearsAtCompany,0.006021388429848885
